Back to Contents,Data 1: Weekly Working Gas in Underground Storage,,,,,,
Sourcekey,NW_EPG0_SAO_R48_BCF,NW_EPG0_SAO_R88_BCF,NW_EPG0_SAO_R89_BCF,NW_EPG0_SAO_R87_BCF,NW_EPG0_SSO_R87_BCF,NW_EPG0_SNO_R87_BCF,
Date,Weekly Lower 48 States Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Eastern Consuming Region Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Western Consuming Region Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Producing Region Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Salt Producing Region Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Nonsalt Producing Region Natural Gas Working Underground Storage  (Billion Cubic Feet),
"Nov 07, 2003",3187,1891,392,904,,,
"Nov 14, 2003",3155,1864,392,899,,,
"Nov 21, 2003",3154,1859,392,903,,,
"Nov 28, 2003",3095,1824,383,888,,,
"Dec 05, 2003",2984,1756,371,857,,,
"Dec 12, 2003",2850,1678,360,812,,,
"Dec 19, 2003",2699,1584,343,772,,,
"Dec 26, 2003",2619,1529,338,752,,,
"Jan 02, 2004",2567,1495,319,753,,,
"Jan 09, 2004",2414,1412,293,709,,,
"Jan 16, 2004",2258,1297,278,683,,,
"Jan 23, 2004",2063,1163,267,633,,,
"Jan 30, 2004",1827,1009,243,575,,,
"Feb 06, 2004",1603,880,211,512,,,
"Feb 13, 2004",1431,788,187,456,,,
"Feb 20, 2004",1267,689,172,406,,,
"Feb 27, 2004",1171,630,162,379,,,
"Mar 05, 2004",1143,619,148,376,,,
"Mar 12, 2004",1097,575,151,371,,,
"Mar 19, 2004",1032,507,153,372,,,
"Mar 26, 2004",1014,474,160,380,,,
"Apr 02, 2004",1034,477,162,395,,,
"Apr 09, 2004",1049,473,165,411,,,
"Apr 16, 2004",1077,483,171,423,,,
"Apr 23, 2004",1155,531,175,449,,,
"Apr 30, 2004",1227,569,183,475,,,
"May 07, 2004",1303,613,194,496,,,
"May 14, 2004",1388,666,205,517,,,
"May 21, 2004",1477,721,217,539,,,
"May 28, 2004",1564,772,232,560,,,
"Jun 04, 2004",1666,839,245,582,,,
"Jun 11, 2004",1760,899,259,602,,,
"Jun 18, 2004",1845,957,269,619,,,
"Jun 25, 2004",1938,1019,282,637,,,
"Jul 02, 2004",2047,1085,296,666,,,
"Jul 09, 2004",2155,1154,309,692,,,
"Jul 16, 2004",2227,1211,314,702,,,
"Jul 23, 2004",2297,1266,316,715,,,
"Jul 30, 2004",2380,1326,320,734,,,
"Aug 06, 2004",2452,1378,328,746,,,
"Aug 13, 2004",2530,1431,334,765,,,
"Aug 20, 2004",2614,1489,342,783,,,
"Aug 27, 2004",2695,1539,354,802,,,
"Sep 03, 2004",2775,1589,362,824,,,
"Sep 10, 2004",2874,1653,374,847,,,
"Sep 17, 2004",2942,1704,383,855,,,
"Sep 24, 2004",3011,1752,392,867,,,
"Oct 01, 2004",3092,1807,403,882,,,
"Oct 08, 2004",3159,1843,411,905,,,
"Oct 15, 2004",3223,1880,418,925,,,
"Oct 22, 2004",3249,1894,422,933,,,
"Oct 29, 2004",3293,1921,423,949,,,
"Nov 05, 2004",3327,1939,423,965,,,
"Nov 12, 2004",3321,1928,425,968,,,
"Nov 19, 2004",3304,1915,425,964,,,
"Nov 26, 2004",3299,1910,423,966,,,
"Dec 03, 2004",3211,1867,402,942,,,
"Dec 10, 2004",3150,1829,391,930,,,
"Dec 17, 2004",3027,1748,387,892,,,
"Dec 24, 2004",2849,1635,372,842,,,
"Dec 31, 2004",2698,1536,360,802,,,
"Jan 07, 2005",2610,1494,333,783,,,
"Jan 14, 2005",2500,1438,307,755,,,
"Jan 21, 2005",2270,1290,288,692,,,
"Jan 28, 2005",2083,1155,279,649,,,
"Feb 04, 2005",1906,1043,264,599,,,
"Feb 11, 2005",1808,984,248,576,,,
"Feb 18, 2005",1720,921,235,564,,,
"Feb 25, 2005",1613,838,224,551,,,
"Mar 04, 2005",1474,737,214,523,,,
"Mar 11, 2005",1379,659,213,507,,,
"Mar 18, 2005",1290,592,211,487,,,
"Mar 25, 2005",1239,548,205,486,,,
"Apr 01, 2005",1249,546,206,497,,,
"Apr 08, 2005",1293,562,210,521,,,
"Apr 15, 2005",1343,591,214,538,,,
"Apr 22, 2005",1416,636,222,558,,,
"Apr 29, 2005",1455,657,227,571,,,
"May 06, 2005",1509,685,237,587,,,
"May 13, 2005",1599,739,250,610,,,
"May 20, 2005",1692,799,264,629,,,
"May 27, 2005",1778,858,275,645,,,
"Jun 03, 2005",1883,927,289,667,,,
"Jun 10, 2005",1956,976,301,679,,,
"Jun 17, 2005",2036,1031,315,690,,,
"Jun 24, 2005",2133,1098,327,709,,,
"Jul 01, 2005",2199,1144,342,713,,,
"Jul 08, 2005",2291,1205,357,729,,,
"Jul 15, 2005",2344,1250,364,731,,,
"Jul 22, 2005",2383,1288,365,730,,,
"Jul 29, 2005",2420,1326,367,727,,,
"Aug 05, 2005",2463,1365,368,730,,,
"Aug 12, 2005",2515,1406,372,737,,,
"Aug 19, 2005",2575,1452,377,746,,,
"Aug 26, 2005",2633,1503,379,751,,,
"Sep 02, 2005",2669,1543,381,745,,,
"Sep 09, 2005",2758,1601,390,767,,,
"Sep 16, 2005",2832,1651,398,783,,,
"Sep 23, 2005",2885,1698,404,783,,,
"Sep 30, 2005",2929,1733,409,787,,,
"Oct 07, 2005",2987,1774,417,796,,,
"Oct 14, 2005",3062,1819,423,820,,,
"Oct 21, 2005",3139,1868,432,839,,,
"Oct 28, 2005",3168,1882,436,850,,,
"Nov 04, 2005",3229,1918,439,872,,,
"Nov 11, 2005",3282,1946,443,893,,,
"Nov 18, 2005",3274,1937,440,897,,,
"Nov 25, 2005",3225,1896,439,890,,,
"Dec 02, 2005",3166,1862,426,878,,,
"Dec 09, 2005",2964,1744,397,823,,,
"Dec 16, 2005",2802,1645,377,780,,,
"Dec 23, 2005",2640,1539,364,737,,,
"Dec 30, 2005",2641,1520,372,749,,,
"Jan 06, 2006",2621,1491,370,760,,,
"Jan 13, 2006",2575,1460,363,752,,,
"Jan 20, 2006",2494,1404,351,739,,,
"Jan 27, 2006",2406,1349,335,722,,,
"Feb 03, 2006",2368,1319,325,724,,,
"Feb 10, 2006",2266,1249,314,703,,,
"Feb 17, 2006",2143,1174,299,670,,,
"Feb 24, 2006",1972,1078,271,623,,,
"Mar 03, 2006",1887,1001,262,624,,,
"Mar 10, 2006",1832,951,252,629,,,
"Mar 17, 2006",1809,934,239,636,,,
"Mar 24, 2006",1705,861,229,615,,,
"Mar 31, 2006",1695,846,231,618,,,
"Apr 07, 2006",1714,855,233,626,,,
"Apr 14, 2006",1771,881,240,650,,,
"Apr 21, 2006",1851,930,247,674,,,
"Apr 28, 2006",1904,959,255,690,,,
"May 05, 2006",1989,1008,267,714,,,
"May 12, 2006",2080,1068,279,733,,,
"May 19, 2006",2163,1119,291,753,,,
"May 26, 2006",2243,1169,306,768,,,
"Jun 02, 2006",2320,1213,321,786,,,
"Jun 09, 2006",2397,1268,334,795,,,
"Jun 16, 2006",2476,1317,347,812,,,
"Jun 23, 2006",2542,1359,356,827,,,
"Jun 30, 2006",2615,1409,362,844,,,
"Jul 07, 2006",2704,1464,376,864,,,
"Jul 14, 2006",2763,1509,384,870,,,
"Jul 21, 2006",2756,1525,381,850,,,
"Jul 28, 2006",2775,1555,373,847,,,
"Aug 04, 2006",2763,1554,380,829,,,
"Aug 11, 2006",2800,1591,384,825,,,
"Aug 18, 2006",2857,1639,391,827,,,
"Aug 25, 2006",2905,1673,398,834,,,
"Sep 01, 2006",2976,1716,407,853,,,
"Sep 08, 2006",3084,1781,417,886,,,
"Sep 15, 2006",3177,1835,427,915,,,
"Sep 22, 2006",3254,1874,438,942,,,
"Sep 29, 2006",3327,1914,448,965,,,
"Oct 06, 2006",3389,1951,459,979,,,
"Oct 13, 2006",3442,1981,464,997,,,
"Oct 20, 2006",3461,1990,467,1004,,,
"Oct 27, 2006",3452,1976,468,1008,,,
"Nov 03, 2006",3445,1966,469,1010,,,
"Nov 10, 2006",3450,1962,473,1015,,,
"Nov 17, 2006",3449,1964,470,1015,,,
"Nov 24, 2006",3417,1936,471,1010,,,
"Dec 01, 2006",3406,1946,450,1010,,,
"Dec 08, 2006",3238,1853,430,955,,,
"Dec 15, 2006",3167,1801,425,941,,,
"Dec 22, 2006",3121,1773,401,947,,,
"Dec 29, 2006",3074,1740,392,942,101,841,
"Jan 05, 2007",3025,1712,380,933,109,823,
"Jan 12, 2007",2936,1660,363,913,107,806,
"Jan 19, 2007",2757,1585,320,852,96,755,
"Jan 26, 2007",2571,1465,299,807,91,716,
"Feb 02, 2007",2347,1326,277,744,78,666,
"Feb 09, 2007",2088,1147,265,676,63,613,
"Feb 16, 2007",1865,996,253,616,52,564,
"Feb 23, 2007",1733,898,243,592,54,538,
"Mar 02, 2007",1631,820,225,586,59,527,
"Mar 09, 2007",1516,728,224,564,58,506,
"Mar 16, 2007",1533,718,231,584,64,519,
"Mar 23, 2007",1511,677,237,597,70,528,
"Mar 30, 2007",1569,702,238,629,78,550,
"Apr 06, 2007",1592,706,244,642,81,560,
"Apr 13, 2007",1546,663,247,636,80,556,
"Apr 20, 2007",1564,664,253,647,80,568,
"Apr 27, 2007",1651,716,263,672,83,590,
"May 04, 2007",1747,777,275,695,85,610,
"May 11, 2007",1842,838,287,717,88,629,
"May 18, 2007",1946,905,301,740,92,648,
"May 25, 2007",2053,970,315,768,97,670,
"Jun 01, 2007",2163,1036,331,796,100,696,
"Jun 08, 2007",2255,1097,342,816,101,714,
"Jun 15, 2007",2344,1157,355,832,102,730,
"Jun 22, 2007",2443,1224,366,853,102,751,
"Jun 29, 2007",2521,1278,376,867,102,765,
"Jul 06, 2007",2627,1348,383,896,105,791,
"Jul 13, 2007",2692,1396,393,903,104,799,
"Jul 20, 2007",2763,1455,396,912,106,806,
"Jul 27, 2007",2840,1511,401,928,109,818,
"Aug 03, 2007",2882,1544,406,932,109,823,
"Aug 10, 2007",2903,1573,411,919,98,821,
"Aug 17, 2007",2926,1613,409,904,92,812,
"Aug 24, 2007",2969,1657,410,902,91,811,
"Aug 31, 2007",3005,1696,406,903,92,811,
"Sep 07, 2007",3069,1746,408,915,93,822,
"Sep 14, 2007",3132,1787,414,931,84,847,
"Sep 21, 2007",3206,1831,424,951,89,862,
"Sep 28, 2007",3263,1864,434,965,98,868,
"Oct 05, 2007",3336,1907,441,988,101,887,
"Oct 12, 2007",3375,1932,446,997,101,896,
"Oct 19, 2007",3443,1970,453,1020,105,915,
"Oct 26, 2007",3509,2004,459,1046,114,932,
"Nov 02, 2007",3545,2017,465,1063,119,945,
"Nov 09, 2007",3536,2002,471,1063,119,945,
"Nov 16, 2007",3540,1991,478,1071,119,952,
"Nov 23, 2007",3528,1977,477,1074,120,955,
"Nov 30, 2007",3440,1932,463,1045,112,932,
"Dec 07, 2007",3294,1831,453,1010,104,905,
"Dec 14, 2007",3173,1757,431,985,104,881,
"Dec 21, 2007",3008,1657,413,938,99,840,
"Dec 28, 2007",2921,1604,395,922,103,819,
"Jan 04, 2008",2750,1511,375,864,91,773,
"Jan 11, 2008",2691,1482,351,858,99,758,
"Jan 18, 2008",2536,1402,325,809,93,716,
"Jan 25, 2008",2262,1257,285,720,70,649,
"Feb 01, 2008",2062,1138,254,670,67,603,
"Feb 08, 2008",1942,1072,227,643,72,571,
"Feb 15, 2008",1770,952,212,606,72,534,
"Feb 22, 2008",1619,852,196,571,71,500,
"Feb 29, 2008",1484,760,189,535,69,466,
"Mar 07, 2008",1398,706,180,512,68,444,
"Mar 14, 2008",1313,640,183,490,66,424,
"Mar 21, 2008",1277,607,176,494,71,423,
"Mar 28, 2008",1248,575,175,498,74,424,
"Apr 04, 2008",1234,563,173,498,74,424,
"Apr 11, 2008",1261,582,176,503,75,428,
"Apr 18, 2008",1285,598,181,506,77,430,
"Apr 25, 2008",1371,652,188,531,83,448,
"May 02, 2008",1436,690,197,549,86,463,
"May 09, 2008",1529,743,210,576,92,485,
"May 16, 2008",1614,797,222,595,94,501,
"May 23, 2008",1701,845,234,622,96,528,
"May 30, 2008",1806,905,251,650,97,553,
"Jun 06, 2008",1886,959,267,660,97,562,
"Jun 13, 2008",1943,997,279,667,97,569,
"Jun 20, 2008",2033,1059,289,685,102,583,
"Jun 27, 2008",2118,1116,299,703,107,596,
"Jul 04, 2008",2208,1177,314,717,109,609,
"Jul 11, 2008",2312,1245,325,742,116,627,
"Jul 18, 2008",2396,1308,336,752,115,636,
"Jul 25, 2008",2461,1363,346,752,111,641,
"Aug 01, 2008",2517,1418,354,745,106,639,
"Aug 08, 2008",2567,1473,358,736,101,635,
"Aug 15, 2008",2655,1540,363,752,104,647,
"Aug 22, 2008",2757,1609,371,777,108,669,
"Aug 29, 2008",2847,1676,378,793,109,684,
"Sep 05, 2008",2905,1723,387,795,101,694,
"Sep 12, 2008",2972,1771,399,802,97,705,
"Sep 19, 2008",3023,1804,411,808,86,722,
"Sep 26, 2008",3110,1855,423,832,88,744,
"Oct 03, 2008",3198,1899,432,867,98,768,
"Oct 10, 2008",3277,1945,440,892,102,790,
"Oct 17, 2008",3347,1985,444,918,107,811,
"Oct 24, 2008",3393,2004,451,938,113,825,
"Oct 31, 2008",3412,2010,463,939,110,829,
"Nov 07, 2008",3472,2041,468,963,117,846,
"Nov 14, 2008",3488,2041,473,974,123,852,
"Nov 21, 2008",3422,1990,467,965,121,844,
"Nov 28, 2008",3358,1929,466,963,120,843,
"Dec 05, 2008",3291,1871,465,955,120,834,
"Dec 12, 2008",3167,1780,454,933,114,819,
"Dec 19, 2008",3020,1689,422,909,110,799,
"Dec 26, 2008",2877,1589,400,888,108,780,
"Jan 02, 2009",2830,1540,388,902,118,784,
"Jan 09, 2009",2736,1468,369,899,121,778,
"Jan 16, 2009",2560,1343,361,856,110,747,
"Jan 23, 2009",2374,1212,354,808,86,722,
"Jan 30, 2009",2179,1087,334,758,78,680,
"Feb 06, 2009",2020,972,327,721,65,656,
"Feb 13, 2009",1996,947,312,737,70,667,
"Feb 20, 2009",1895,876,296,723,71,652,
"Feb 27, 2009",1793,793,292,708,75,632,
"Mar 06, 2009",1681,703,288,690,73,618,
"Mar 13, 2009",1651,677,276,698,77,622,
"Mar 20, 2009",1654,664,281,709,83,627,
"Mar 27, 2009",1654,641,282,731,91,640,
"Apr 03, 2009",1674,647,283,744,99,645,
"Apr 10, 2009",1695,651,288,756,105,650,
"Apr 17, 2009",1741,668,294,779,114,664,
"Apr 24, 2009",1823,710,308,805,122,683,
"May 01, 2009",1911,768,319,824,126,698,
"May 08, 2009",2005,827,332,846,131,715,
"May 15, 2009",2107,892,345,870,135,735,
"May 22, 2009",2213,953,360,900,147,754,
"May 29, 2009",2337,1024,379,934,156,778,
"Jun 05, 2009",2443,1091,395,957,160,797,
"Jun 12, 2009",2557,1164,408,985,169,816,
"Jun 19, 2009",2651,1234,420,997,168,828,
"Jun 26, 2009",2721,1289,431,1001,164,836,
"Jul 03, 2009",2796,1349,434,1013,165,848,
"Jul 10, 2009",2886,1411,443,1032,172,861,
"Jul 17, 2009",2952,1467,442,1043,171,871,
"Jul 24, 2009",3023,1523,441,1059,175,884,
"Jul 31, 2009",3089,1579,442,1068,175,893,
"Aug 07, 2009",3152,1635,444,1073,175,898,
"Aug 14, 2009",3204,1681,449,1074,172,902,
"Aug 21, 2009",3258,1724,455,1079,170,909,
"Aug 28, 2009",3323,1776,461,1086,169,917,
"Sep 04, 2009",3392,1831,462,1099,174,926,
"Sep 11, 2009",3458,1876,472,1110,174,936,
"Sep 18, 2009",3525,1917,482,1126,179,947,
"Sep 25, 2009",3589,1955,489,1145,183,962,
"Oct 02, 2009",3658,1992,497,1169,191,978,
"Oct 09, 2009",3716,2030,504,1182,195,988,
"Oct 16, 2009",3734,2041,506,1187,195,992,
"Oct 23, 2009",3759,2058,513,1188,194,994,
"Oct 30, 2009",3788,2085,514,1189,194,995,
"Nov 06, 2009",3813,2093,521,1199,197,1002,
"Nov 13, 2009",3833,2101,524,1208,201,1007,
"Nov 20, 2009",3835,2099,525,1211,203,1008,
"Nov 27, 2009",3837,2092,526,1219,207,1011,
"Dec 04, 2009",3773,2061,517,1195,202,993,
"Dec 11, 2009",3566,1968,478,1120,176,944,
"Dec 18, 2009",3400,1869,464,1067,162,905,
"Dec 25, 2009",3276,1779,453,1044,162,882,
"Jan 01, 2010",3118,1678,434,1006,159,846,
"Jan 08, 2010",2852,1532,414,906,123,782,
"Jan 15, 2010",2607,1401,396,810,91,719,
"Jan 22, 2010",2521,1334,380,807,102,705,
"Jan 29, 2010",2406,1251,359,796,108,688,
"Feb 05, 2010",2215,1135,344,736,95,641,
"Feb 12, 2010",2025,1030,322,673,85,589,
"Feb 19, 2010",1853,935,311,607,71,536,
"Feb 26, 2010",1737,861,296,580,70,510,
"Mar 05, 2010",1626,789,289,548,63,485,
"Mar 12, 2010",1615,770,283,562,71,491,
"Mar 19, 2010",1626,760,285,581,80,501,
"Mar 26, 2010",1638,753,289,596,89,507,
"Apr 02, 2010",1669,750,292,627,101,526,
"Apr 09, 2010",1756,795,296,665,112,552,
"Apr 16, 2010",1829,829,304,696,120,576,
"Apr 23, 2010",1912,867,318,727,126,601,
"Apr 30, 2010",1995,905,330,760,133,627,
"May 07, 2010",2089,958,344,787,138,650,
"May 14, 2010",2165,992,359,814,144,670,
"May 21, 2010",2269,1047,377,845,149,696,
"May 28, 2010",2357,1095,394,868,151,717,
"Jun 04, 2010",2456,1148,412,896,158,738,
"Jun 11, 2010",2543,1200,424,919,160,757,
"Jun 18, 2010",2624,1251,438,935,161,773,
"Jun 25, 2010",2684,1293,448,943,158,785,
"Jul 02, 2010",2762,1341,459,962,160,802,
"Jul 09, 2010",2840,1384,470,986,168,819,
"Jul 16, 2010",2891,1425,474,992,163,828,
"Jul 23, 2010",2919,1459,473,987,157,830,
"Jul 30, 2010",2948,1493,476,979,148,831,
"Aug 06, 2010",2985,1536,479,970,144,827,
"Aug 13, 2010",3012,1576,482,954,136,818,
"Aug 20, 2010",3052,1624,479,949,131,819,
"Aug 27, 2010",3106,1677,473,956,133,823,
"Sep 03, 2010",3164,1712,478,974,136,837,
"Sep 10, 2010",3267,1766,491,1010,150,861,
"Sep 17, 2010",3340,1819,492,1029,150,880,
"Sep 24, 2010",3414,1867,497,1050,153,896,
"Oct 01, 2010",3499,1920,497,1082,162,921,
"Oct 08, 2010",3590,1963,503,1124,168,956,
"Oct 15, 2010",3683,2014,508,1161,182,979,
"Oct 22, 2010",3754,2048,514,1192,189,1002,
"Oct 29, 2010",3821,2087,516,1218,193,1025,
"Nov 05, 2010",3840,2087,520,1233,199,1035,
"Nov 12, 2010",3835,2079,518,1238,207,1029,
"Nov 19, 2010",3828,2069,519,1240,211,1028,
"Nov 26, 2010",3805,2053,498,1254,218,1036,
"Dec 03, 2010",3716,2002,477,1237,215,1022,
"Dec 10, 2010",3552,1891,467,1194,205,989,
"Dec 17, 2010",3368,1774,456,1138,186,953,
"Dec 24, 2010",3232,1671,444,1117,182,935,
"Dec 31, 2010",3097,1590,428,1079,175,904,
"Jan 07, 2011",2959,1510,390,1059,183,875,
"Jan 14, 2011",2716,1384,364,968,158,809,
"Jan 21, 2011",2542,1280,350,912,153,758,
"Jan 28, 2011",2353,1165,332,856,142,714,
"Feb 04, 2011",2144,1055,300,789,123,666,
"Feb 11, 2011",1911,937,276,698,90,608,
"Feb 18, 2011",1830,880,263,687,90,597,
"Feb 25, 2011",1745,809,240,696,100,596,
"Mar 04, 2011",1674,748,223,703,106,597,
"Mar 11, 2011",1618,697,221,700,111,588,
"Mar 18, 2011",1612,675,222,715,121,594,
"Mar 25, 2011",1624,668,216,740,131,608,
"Apr 01, 2011",1579,616,221,742,138,603,
"Apr 08, 2011",1607,623,221,763,143,620,
"Apr 15, 2011",1654,652,222,780,143,637,
"Apr 22, 2011",1685,666,226,793,144,648,
"Apr 29, 2011",1757,707,233,817,149,667,
"May 06, 2011",1827,748,240,839,155,684,
"May 13, 2011",1919,804,251,864,161,703,
"May 20, 2011",2024,860,262,902,175,727,
"May 27, 2011",2107,911,276,920,177,744,
"Jun 03, 2011",2187,960,289,938,179,758,
"Jun 10, 2011",2256,1008,304,944,180,764,
"Jun 17, 2011",2354,1072,322,960,184,777,
"Jun 24, 2011",2432,1127,335,970,182,788,
"Jul 01, 2011",2527,1189,351,987,184,802,
"Jul 08, 2011",2611,1248,362,1001,185,815,
"Jul 15, 2011",2671,1298,378,995,176,819,
"Jul 22, 2011",2714,1338,389,987,167,820,
"Jul 29, 2011",2758,1380,396,982,160,822,
"Aug 05, 2011",2783,1418,404,961,151,811,
"Aug 12, 2011",2833,1466,414,953,142,811,
"Aug 19, 2011",2906,1524,422,960,143,818,
"Aug 26, 2011",2961,1578,426,957,139,818,
"Sep 02, 2011",3025,1636,430,959,139,820,
"Sep 09, 2011",3112,1695,436,981,144,836,
"Sep 16, 2011",3201,1753,445,1003,153,850,
"Sep 23, 2011",3312,1820,456,1036,166,870,
"Sep 30, 2011",3409,1881,468,1060,170,890,
"Oct 07, 2011",3521,1935,482,1104,188,916,
"Oct 14, 2011",3624,1993,491,1140,206,935,
"Oct 21, 2011",3716,2037,498,1181,226,955,
"Oct 28, 2011",3794,2069,505,1220,244,976,
"Nov 04, 2011",3831,2085,511,1235,253,982,
"Nov 11, 2011",3843,2091,510,1242,263,980,
"Nov 18, 2011",3852,2091,514,1247,268,980,
"Nov 25, 2011",3851,2074,516,1261,276,985,
"Dec 02, 2011",3831,2058,517,1256,281,975,
"Dec 09, 2011",3729,2008,493,1228,276,953,
"Dec 16, 2011",3629,1945,470,1214,274,939,
"Dec 23, 2011",3548,1892,451,1205,275,930,
"Dec 30, 2011",3472,1830,447,1195,279,916,
"Jan 06, 2012",3377,1754,444,1179,274,904,
"Jan 13, 2012",3290,1693,433,1164,276,888,
"Jan 20, 2012",3098,1571,406,1121,260,861,
"Jan 27, 2012",2966,1471,396,1099,254,846,
"Feb 03, 2012",2888,1412,388,1088,250,838,
"Feb 10, 2012",2761,1329,381,1051,240,811,
"Feb 17, 2012",2595,1232,370,993,217,776,
"Feb 24, 2012",2513,1174,365,974,214,760,
"Mar 02, 2012",2433,1114,352,967,216,751,
"Mar 09, 2012",2369,1059,345,965,223,743,
"Mar 16, 2012",2380,1049,346,985,232,752,
"Mar 23, 2012",2430,1073,344,1013,247,766,
"Mar 30, 2012",2472,1084,349,1039,260,780,
"Apr 06, 2012",2478,1090,353,1035,258,776,
"Apr 13, 2012",2501,1103,358,1040,259,782,
"Apr 20, 2012",2548,1145,362,1041,254,787,
"Apr 27, 2012",2576,1165,371,1040,249,791,
"May 04, 2012",2606,1189,379,1038,241,797,
"May 11, 2012",2667,1236,386,1045,238,807,
"May 18, 2012",2744,1281,399,1064,257,807,
"May 25, 2012",2815,1325,410,1080,261,819,
"Jun 01, 2012",2877,1363,423,1091,260,831,
"Jun 08, 2012",2944,1406,436,1102,261,841,
"Jun 15, 2012",3006,1443,447,1116,265,851,
"Jun 22, 2012",3063,1477,456,1130,267,862,
"Jun 29, 2012",3102,1512,471,1119,258,860,
"Jul 06, 2012",3135,1532,484,1119,251,868,
"Jul 13, 2012",3163,1555,488,1120,247,873,
"Jul 20, 2012",3189,1575,495,1119,242,877,
"Jul 27, 2012",3217,1605,499,1113,234,880,
"Aug 03, 2012",3241,1635,498,1108,226,881,
"Aug 10, 2012",3261,1664,493,1104,220,883,
"Aug 17, 2012",3308,1712,488,1108,218,890,
"Aug 24, 2012",3374,1759,491,1124,227,897,
"Aug 31, 2012",3402,1793,492,1117,221,897,
"Sep 07, 2012",3429,1831,494,1104,207,897,
"Sep 14, 2012",3496,1875,497,1124,217,907,
"Sep 21, 2012",3576,1921,502,1153,232,921,
"Sep 28, 2012",3653,1963,510,1180,245,935,
"Oct 05, 2012",3725,2005,513,1207,260,947,
"Oct 12, 2012",3776,2029,521,1226,271,955,
"Oct 19, 2012",3843,2057,532,1254,286,968,
"Oct 26, 2012",3908,2091,540,1277,300,978,
"Nov 02, 2012",3929,2096,548,1285,307,977,
"Nov 09, 2012",3911,2073,551,1287,310,977,
"Nov 16, 2012",3873,2054,544,1275,311,964,
"Nov 23, 2012",3877,2042,548,1287,317,970,
"Nov 30, 2012",3804,1986,545,1273,316,957,
"Dec 07, 2012",3806,1974,547,1285,320,966,
"Dec 14, 2012",3724,1925,538,1261,312,949,
"Dec 21, 2012",3652,1883,520,1249,310,939,
"Dec 28, 2012",3517,1799,505,1213,302,911,
"Jan 04, 2013",3316,1686,478,1152,283,870,
"Jan 11, 2013",3168,1600,455,1113,275,837,
"Jan 18, 2013",2996,1520,416,1060,260,800,
"Jan 25, 2013",2802,1391,398,1013,244,769,
"Feb 01, 2013",2684,1303,388,993,240,753,
"Feb 08, 2013",2527,1187,380,960,234,726,
"Feb 15, 2013",2400,1108,367,925,225,699,
"Feb 22, 2013",2229,999,355,875,208,667,
"Mar 01, 2013",2083,922,344,817,190,627,
"Mar 08, 2013",1938,830,339,769,175,594,
"Mar 15, 2013",1876,783,339,754,180,574,
"Mar 22, 2013",1781,710,334,737,178,558,
"Mar 29, 2013",1687,662,330,695,166,529,
"Apr 05, 2013",1673,646,337,690,168,522,
"Apr 12, 2013",1704,665,336,703,179,524,
"Apr 19, 2013",1734,686,334,714,187,526,
"Apr 26, 2013",1777,704,339,734,198,536,
"May 03, 2013",1865,756,344,765,212,553,
"May 10, 2013",1964,811,357,796,228,569,
"May 17, 2013",2053,857,368,828,239,589,
"May 24, 2013",2141,910,380,851,243,608,
"May 31, 2013",2252,968,396,888,254,634,
"Jun 07, 2013",2347,1025,409,913,259,654,
"Jun 14, 2013",2438,1085,420,933,261,673,
"Jun 21, 2013",2533,1143,433,957,263,694,
"Jun 28, 2013",2605,1191,443,971,265,706,
"Jul 05, 2013",2687,1244,445,998,274,724,
"Jul 12, 2013",2745,1281,451,1013,275,739,
"Jul 19, 2013",2786,1306,455,1025,274,751,
"Jul 26, 2013",2845,1350,461,1034,267,768,
"Aug 02, 2013",2941,1408,484,1049,265,784,
"Aug 09, 2013",3006,1459,494,1053,261,792,
"Aug 16, 2013",3063,1506,500,1057,258,799,
"Aug 23, 2013",3130,1555,502,1073,260,813,
"Aug 30, 2013",3188,1598,505,1085,261,824,
"Sep 06, 2013",3253,1647,507,1099,262,836,
"Sep 13, 2013",3299,1688,511,1100,259,841,
"Sep 20, 2013",3386,1742,519,1125,267,859,
"Sep 27, 2013",3487,1800,529,1158,278,879,
"Oct 04, 2013",3577,1851,538,1188,287,901,
"Oct 11, 2013",3654,1897,545,1212,294,918,
"Oct 18, 2013",3741,1947,549,1245,311,933,
"Oct 25, 2013",3779,1964,552,1263,318,945,
"Nov 01, 2013",3814,1974,555,1285,325,960,
"Nov 08, 2013",3834,1984,553,1297,332,965,
"Nov 15, 2013",3789,1953,552,1284,327,957,
"Nov 22, 2013",3776,1939,546,1291,331,960,
"Nov 29, 2013",3614,1861,530,1223,303,920,
"Dec 06, 2013",3533,1815,504,1214,309,905,
"Dec 13, 2013",3248,1683,450,1115,277,839,
"Dec 20, 2013",3071,1568,429,1074,263,811,
"Dec 27, 2013",2974,1501,412,1061,269,792,
"Jan 03, 2014",2817,1403,395,1019,259,759,
"Jan 10, 2014",2530,1254,364,912,211,701,
"Jan 17, 2014",2423,1187,349,887,213,674,
"Jan 24, 2014",2185,1063,327,795,178,617,
"Jan 31, 2014",1923,920,301,702,137,565,
"Feb 07, 2014",1693,814,259,620,109,510,
"Feb 14, 2014",1443,685,229,529,77,452,
"Feb 21, 2014",1348,607,217,524,96,428,
