Back to Contents,Data 1: Weekly Working Gas in Underground Storage,,,,,,
Sourcekey,NW_EPG0_SAO_R48_BCF,NW_EPG0_SAO_R88_BCF,NW_EPG0_SAO_R89_BCF,NW_EPG0_SAO_R87_BCF,NW_EPG0_SSO_R87_BCF,NW_EPG0_SNO_R87_BCF,
Date,Weekly Lower 48 States Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Eastern Consuming Region Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Western Consuming Region Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Producing Region Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Salt Producing Region Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Nonsalt Producing Region Natural Gas Working Underground Storage  (Billion Cubic Feet),
"Apr 19, 1996",729,307,226,195,,,
"Apr 26, 1996",819,374,231,214,,,
"May 03, 1996",879,414,233,231,,,
"May 10, 1996",945,470,240,235,,,
"May 17, 1996",1000,503,249,248,,,
"May 24, 1996",1081,560,260,262,,,
"May 31, 1996",1161,612,269,280,,,
"Jun 07, 1996",1251,677,277,298,,,
"Jun 14, 1996",1338,744,279,315,,,
"Jun 21, 1996",1423,806,288,328,,,
"Jun 28, 1996",1507,872,298,337,,,
"Jul 05, 1996",1593,942,303,348,,,
"Jul 12, 1996",1684,1011,310,364,,,
"Jul 19, 1996",1770,1079,316,375,,,
"Jul 26, 1996",1844,1145,314,384,,,
"Aug 02, 1996",1921,1211,312,397,,,
"Aug 09, 1996",1996,1265,318,412,,,
"Aug 16, 1996",2083,1332,314,437,,,
"Aug 23, 1996",2146,1383,313,450,,,
"Aug 30, 1996",2232,1446,313,474,,,
"Sep 06, 1996",2326,1513,320,494,,,
"Sep 13, 1996",2406,1563,323,519,,,
"Sep 20, 1996",2490,1619,329,542,,,
"Sep 27, 1996",2568,1671,329,568,,,
"Oct 04, 1996",2659,1726,332,601,,,
"Oct 11, 1996",2697,1753,335,609,,,
"Oct 18, 1996",2755,1795,340,620,,,
"Oct 25, 1996",2788,1820,337,631,,,
"Nov 01, 1996",2816,1841,333,642,,,
"Nov 08, 1996",2802,1837,331,634,,,
"Nov 15, 1996",2721,1778,333,609,,,
"Nov 22, 1996",2659,1732,328,599,,,
"Nov 29, 1996",2559,1668,323,567,,,
"Dec 06, 1996",2490,1630,315,545,,,
"Dec 13, 1996",2439,1587,311,541,,,
"Dec 20, 1996",2310,1524,295,491,,,
"Dec 27, 1996",2180,1437,280,463,,,
"Jan 03, 1997",2176,1418,284,473,,,
"Jan 10, 1997",2065,1352,268,445,,,
"Jan 17, 1997",1805,1199,240,366,,,
"Jan 24, 1997",1658,1085,225,348,,,
"Jan 31, 1997",1496,965,216,315,,,
"Feb 07, 1997",1428,919,205,304,,,
"Feb 14, 1997",1277,820,191,266,,,
"Feb 21, 1997",1214,763,190,261,,,
"Feb 28, 1997",1139,711,179,249,,,
"Mar 07, 1997",1086,667,168,251,,,
"Mar 14, 1997",1039,610,166,263,,,
"Mar 21, 1997",977,541,168,268,,,
